Kód obce,Obec,ORP,Okres,Kraj,Extent
588024,Telč,Telč,Jihlava,Kraj Vysočina,"POLYGON((-684135 -1156132.18,-684135 -1146545.19,-678807.68 -1146545.19,-678807.68 -1156132.18,-684135 -1156132.18))"
578878,Telecí,Polička,Svitavy,Pardubický kraj,"POLYGON((-625497.73 -1104748.95,-625497.73 -1099673.24,-620849.81 -1099673.24,-620849.81 -1104748.95,-625497.73 -1104748.95))"
583979,Telnice,Šlapanice,Brno-venkov,Jihomoravský kraj,"POLYGON((-593942.91 -1173324.67,-593942.91 -1170636.18,-589851.91 -1170636.18,-589851.91 -1173324.67,-593942.91 -1173324.67))"
568295,Telnice,Ústí nad Labem,Ústí nad Labem,Ústecký kraj,"POLYGON((-770470.08 -970039.7,-770470.08 -965423.74,-762885.73 -965423.74,-762885.73 -970039.7,-770470.08 -970039.7))"
545155,Temelín,Týn nad Vltavou,České Budějovice,Jihočeský kraj,"POLYGON((-765710.76 -1146876.25,-765710.76 -1137961.38,-753898.82 -1137961.38,-753898.82 -1146876.25,-765710.76 -1146876.25))"
562271,Temešvár,Písek,Písek,Jihočeský kraj,"POLYGON((-766477.74 -1124984.36,-766477.74 -1120076.97,-764053.98 -1120076.97,-764053.98 -1124984.36,-766477.74 -1124984.36))"
586668,Těmice,Kyjov,Hodonín,Jihomoravský kraj,"POLYGON((-554192.29 -1188649.1,-554192.29 -1186022.03,-551815.18 -1186022.03,-551815.18 -1188649.1,-554192.29 -1188649.1))"
548936,Těmice,Pelhřimov,Pelhřimov,Kraj Vysočina,"POLYGON((-713028.41 -1133834.6,-713028.41 -1127079.39,-704885.9 -1127079.39,-704885.9 -1133834.6,-713028.41 -1133834.6))"
560189,Těně,Rokycany,Rokycany,Plzeňský kraj,"POLYGON((-794608.7 -1081164.06,-794608.7 -1072177.26,-790228.98 -1072177.26,-790228.98 -1081164.06,-794608.7 -1081164.06))"
555631,Teplá,Mariánské Lázně,Cheb,Karlovarský kraj,"POLYGON((-861873.64 -1045695.97,-861873.64 -1031007.63,-847815.99 -1031007.63,-847815.99 -1045695.97,-861873.64 -1045695.97))"
567442,Teplice,Teplice,Teplice,Ústecký kraj,"POLYGON((-779921.98 -979060.29,-779921.98 -972269.54,-772478.87 -972269.54,-772478.87 -979060.29,-779921.98 -979060.29))"
519031,Teplice nad Bečvou,Hranice,Přerov,Olomoucký kraj,"POLYGON((-514531.05 -1133348.13,-514531.05 -1130876.29,-512028.58 -1130876.29,-512028.58 -1133348.13,-514531.05 -1133348.13))"
574538,Teplice nad Metují,Broumov,Náchod,Královéhradecký kraj,"POLYGON((-617540.96 -1007344.65,-617540.96 -994442.42,-608187.68 -994442.42,-608187.68 -1007344.65,-617540.96 -1007344.65))"
537845,Teplička,Karlovy Vary,Karlovy Vary,Karlovarský kraj,"POLYGON((-853786.06 -1022498.32,-853786.06 -1018108.89,-851523.84 -1018108.89,-851523.84 -1022498.32,-853786.06 -1022498.32))"
530760,Teplýšovice,Benešov,Benešov,Středočeský kraj,"POLYGON((-722679.91 -1081109.3,-722679.91 -1076395.16,-717815.44 -1076395.16,-717815.44 -1081109.3,-722679.91 -1081109.3))"
566802,Terešov,Rokycany,Rokycany,Plzeňský kraj,"POLYGON((-799134.43 -1058203.47,-799134.43 -1055063.8,-795795.84 -1055063.8,-795795.84 -1058203.47,-799134.43 -1058203.47))"
586676,Terezín,Hodonín,Hodonín,Jihomoravský kraj,"POLYGON((-577116.7 -1190273.55,-577116.7 -1186461.48,-575231.1 -1186461.48,-575231.1 -1190273.55,-577116.7 -1190273.55))"
565717,Terezín,Litoměřice,Litoměřice,Ústecký kraj,"POLYGON((-758438.1 -995585.4,-758438.1 -991695.93,-750825.28 -991695.93,-750825.28 -995585.4,-758438.1 -995585.4))"
599158,Těrlicko,Havířov,Karviná,Moravskoslezský kraj,"POLYGON((-458209.2 -1115967.31,-458209.2 -1109448.75,-452579.7 -1109448.75,-452579.7 -1115967.31,-458209.2 -1115967.31))"
583995,Těšany,Židlochovice,Brno-venkov,Jihomoravský kraj,"POLYGON((-590283.81 -1180701.86,-590283.81 -1174609.4,-585279.31 -1174609.4,-585279.31 -1180701.86,-590283.81 -1180701.86))"
505269,Těšetice,Olomouc,Olomouc,Olomoucký kraj,"POLYGON((-558715.63 -1122579.92,-558715.63 -1118251.9,-552517.14 -1118251.9,-552517.14 -1122579.92,-558715.63 -1122579.92))"
594946,Těšetice,Znojmo,Znojmo,Jihomoravský kraj,"POLYGON((-636561.93 -1193967.95,-636561.93 -1189698.74,-633211.31 -1189698.74,-633211.31 -1193967.95,-636561.93 -1193967.95))"
546526,Těškov,Rokycany,Rokycany,Plzeňský kraj,"POLYGON((-802370 -1069241.34,-802370 -1063897.9,-796860.33 -1063897.9,-796860.33 -1069241.34,-802370 -1069241.34))"
