Kód obce,Obec,ORP,Okres,Kraj,Extent
599735,Březová-Oleško,Černošice,Praha-západ,Středočeský kraj,"POLYGON((-748139.52 -1064425.41,-748139.52 -1060924.24,-744414.24 -1060924.24,-744414.24 -1064425.41,-748139.52 -1064425.41))"
599514,Březovice,Mladá Boleslav,Mladá Boleslav,Středočeský kraj,"POLYGON((-717078.37 -1005279.03,-717078.37 -998574.88,-712055.06 -998574.88,-712055.06 -1005279.03,-717078.37 -1005279.03))"
595381,Březské,Velké Meziříčí,Žďár nad Sázavou,Kraj Vysočina,"POLYGON((-627315.29 -1146472.55,-627315.29 -1140780.96,-620711.71 -1140780.96,-620711.71 -1146472.55,-627315.29 -1146472.55))"
589331,Březsko,Konice,Prostějov,Olomoucký kraj,"POLYGON((-574240.97 -1118581.43,-574240.97 -1114408.1,-572049.88 -1114408.1,-572049.88 -1118581.43,-574240.97 -1118581.43))"
585149,Březůvky,Zlín,Zlín,Zlínský kraj,"POLYGON((-520426.98 -1175169.23,-520426.98 -1170505.52,-517678.32 -1170505.52,-517678.32 -1175169.23,-520426.98 -1175169.23))"
597228,Břidličná,Rýmařov,Bruntál,Moravskoslezský kraj,"POLYGON((-539783 -1090021.32,-539783 -1084387.81,-530957.2 -1084387.81,-530957.2 -1090021.32,-539783 -1090021.32))"
548855,Bříšťany,Hořice,Jičín,Královéhradecký kraj,"POLYGON((-655933.6 -1030250.24,-655933.6 -1027689.68,-652865.55 -1027689.68,-652865.55 -1030250.24,-655933.6 -1030250.24))"
537047,Bříství,Český Brod,Nymburk,Středočeský kraj,"POLYGON((-714026.74 -1042862.69,-714026.74 -1040299.2,-710606.03 -1040299.2,-710606.03 -1042862.69,-714026.74 -1042862.69))"
564648,Bříza,Roudnice nad Labem,Litoměřice,Ústecký kraj,"POLYGON((-755751.6 -1013661.38,-755751.6 -1009951.79,-752468.8 -1009951.79,-752468.8 -1013661.38,-755751.6 -1013661.38))"
545431,Brloh,Český Krumlov,Český Krumlov,Jihočeský kraj,"POLYGON((-779004.08 -1174356.92,-779004.08 -1160756.38,-771356.2 -1160756.38,-771356.2 -1174356.92,-779004.08 -1174356.92))"
574791,Brloh,Přelouč,Pardubice,Pardubický kraj,"POLYGON((-664793.94 -1063915.18,-664793.94 -1060337.14,-662499.01 -1060337.14,-662499.01 -1063915.18,-664793.94 -1063915.18))"
564613,Brňany,Litoměřice,Litoměřice,Ústecký kraj,"POLYGON((-758582.22 -998769.73,-758582.22 -995750.24,-755290.81 -995750.24,-755290.81 -998769.73,-758582.22 -998769.73))"
577863,Brněnec,Svitavy,Svitavy,Pardubický kraj,"POLYGON((-600154.72 -1114600.53,-600154.72 -1110283.14,-596515.9 -1110283.14,-596515.9 -1114600.53,-600154.72 -1114600.53))"
530727,Brníčko,Zábřeh,Šumperk,Olomoucký kraj,"POLYGON((-565696.46 -1088772.26,-565696.46 -1083922.13,-560677.64 -1083922.13,-560677.64 -1088772.26,-565696.46 -1088772.26))"
566136,Brnířov,Domažlice,Domažlice,Plzeňský kraj,"POLYGON((-853188.16 -1107696.6,-853188.16 -1105513.15,-851052.45 -1105513.15,-851052.45 -1107696.6,-853188.16 -1107696.6))"
561444,Brniště,Česká Lípa,Česká Lípa,Liberecký kraj,"POLYGON((-715447.15 -980508.08,-715447.15 -972817.07,-708613.54 -972817.07,-708613.54 -980508.08,-715447.15 -980508.08))"
582786,Brno,Brno,Brno-město,Jihomoravský kraj,"POLYGON((-610939.65 -1170375.4,-610939.65 -1149799.67,-588975.72 -1149799.67,-588975.72 -1170375.4,-610939.65 -1170375.4))"
535559,Brodce,Mladá Boleslav,Mladá Boleslav,Středočeský kraj,"POLYGON((-708919.66 -1023447.08,-708919.66 -1017777.89,-705099.05 -1017777.89,-705099.05 -1023447.08,-708919.66 -1023447.08))"
546895,Brodec,Louny,Louny,Ústecký kraj,"POLYGON((-784105.77 -1014632.55,-784105.77 -1012422.98,-781298.08 -1012422.98,-781298.08 -1014632.55,-784105.77 -1014632.55))"
589314,Brodek u Konice,Konice,Prostějov,Olomoucký kraj,"POLYGON((-579587.2 -1125388.05,-579587.2 -1120162.43,-574644.46 -1120162.43,-574644.46 -1125388.05,-579587.2 -1125388.05))"
512800,Brodek u Přerova,Přerov,Přerov,Olomoucký kraj,"POLYGON((-544177.09 -1137220.32,-544177.09 -1132981.16,-538864.3 -1132981.16,-538864.3 -1137220.32,-544177.09 -1137220.32))"
589322,Brodek u Prostějova,Prostějov,Prostějov,Olomoucký kraj,"POLYGON((-564357.35 -1147124.46,-564357.35 -1143969.5,-559859.16 -1143969.5,-559859.16 -1147124.46,-564357.35 -1147124.46))"
566489,Brodeslavy,Kralovice,Plzeň-sever,Plzeňský kraj,"POLYGON((-807215.56 -1049686.69,-807215.56 -1048104.76,-804945.58 -1048104.76,-804945.58 -1049686.69,-807215.56 -1049686.69))"
584355,Brod nad Dyjí,Mikulov,Břeclav,Jihomoravský kraj,"POLYGON((-609474.8 -1198083.87,-609474.8 -1193127.39,-605565.9 -1193127.39,-605565.9 -1198083.87,-609474.8 -1198083.87))"
541605,Brod nad Tichou,Tachov,Tachov,Plzeňský kraj,"POLYGON((-868894.26 -1054822.95,-868894.26 -1050858.87,-864886.7 -1050858.87,-864886.7 -1054822.95,-868894.26 -1054822.95))"
573922,Broumov,Broumov,Náchod,Královéhradecký kraj,"POLYGON((-602376.64 -1007743.21,-602376.64 -999179.09,-597113.42 -999179.09,-597113.42 -1007743.21,-602376.64 -1007743.21))"
541401,Broumov,Tachov,Tachov,Plzeňský kraj,"POLYGON((-879457.13 -1046556.03,-879457.13 -1043103.92,-873711.28 -1043103.92,-873711.28 -1046556.03,-879457.13 -1046556.03))"
531081,Broumy,Beroun,Beroun,Středočeský kraj,"POLYGON((-789148.16 -1056555.71,-789148.16 -1050114.32,-780448.26 -1050114.32,-780448.26 -1056555.71,-789148.16 -1056555.71))"
564621,Brozany nad Ohří,Litoměřice,Litoměřice,Ústecký kraj,"POLYGON((-760362.12 -1003166.1,-760362.12 -997191.22,-755322.6 -997191.22,-755322.6 -1003166.1,-760362.12 -1003166.1))"
586943,Brtnice,Jihlava,Jihlava,Kraj Vysočina,"POLYGON((-670846.64 -1146805.03,-670846.64 -1134685.54,-658664.34 -1134685.54,-658664.34 -1146805.03,-670846.64 -1146805.03))"
590371,Brtnička,Jihlava,Jihlava,Kraj Vysočina,"POLYGON((-669795.17 -1148422.9,-669795.17 -1146009.83,-667405.26 -1146009.83,-667405.26 -1148422.9,-669795.17 -1148422.9))"
581381,Brťov-Jeneč,Blansko,Blansko,Jihomoravský kraj,"POLYGON((-605356.35 -1137670.35,-605356.35 -1132512.05,-600087.45 -1132512.05,-600087.45 -1137670.35,-605356.35 -1137670.35))"
581402,Brumov,Tišnov,Brno-venkov,Jihomoravský kraj,"POLYGON((-608875 -1130661.3,-608875 -1128632.42,-606757.79 -1128632.42,-606757.79 -1130661.3,-608875 -1130661.3))"
585114,Brumov-Bylnice,Valašské Klobouky,Zlín,Zlínský kraj,"POLYGON((-500070.62 -1190147.95,-500070.62 -1178831.14,-490635.06 -1178831.14,-490635.06 -1190147.95,-500070.62 -1190147.95))"
584363,Brumovice,Hustopeče,Břeclav,Jihomoravský kraj,"POLYGON((-582600.51 -1190930.73,-582600.51 -1186202.2,-577964.95 -1186202.2,-577964.95 -1190930.73,-582600.51 -1190930.73))"
506320,Brumovice,Opava,Opava,Moravskoslezský kraj,"POLYGON((-512307.11 -1080401.83,-512307.11 -1075103.73,-503677.99 -1075103.73,-503677.99 -1080401.83,-512307.11 -1080401.83))"
597180,Bruntál,Bruntál,Bruntál,Moravskoslezský kraj,"POLYGON((-530943.35 -1088425.49,-530943.35 -1075700.05,-524141.44 -1075700.05,-524141.44 -1088425.49,-530943.35 -1088425.49))"
588377,Brusné,Bystřice pod Hostýnem,Kroměříž,Zlínský kraj,"POLYGON((-521400.77 -1153237.03,-521400.77 -1148789.55,-517848.65 -1148789.55,-517848.65 -1153237.03,-521400.77 -1153237.03))"
598038,Brušperk,Frýdek-Místek,Frýdek-Místek,Moravskoslezský kraj,"POLYGON((-478071.71 -1117697.52,-478071.71 -1114123.51,-473073.74 -1114123.51,-473073.74 -1117697.52,-478071.71 -1117697.52))"
598046,Bruzovice,Frýdek-Místek,Frýdek-Místek,Moravskoslezský kraj,"POLYGON((-465238.48 -1117708.06,-465238.48 -1112481.39,-460460.6 -1112481.39,-460460.6 -1117708.06,-465238.48 -1117708.06))"
566063,Břvany,Louny,Louny,Ústecký kraj,"POLYGON((-789173.92 -1002694.31,-789173.92 -999589.02,-784749.56 -999589.02,-784749.56 -1002694.31,-789173.92 -1002694.31))"
546755,Brzánky,Roudnice nad Labem,Litoměřice,Ústecký kraj,"POLYGON((-746595.73 -1001166.17,-746595.73 -999449.53,-743060.51 -999449.53,-743060.51 -1001166.17,-746595.73 -1001166.17))"
573931,Brzice,Náchod,Náchod,Královéhradecký kraj,"POLYGON((-631160.05 -1019861.03,-631160.05 -1013853.55,-627633.94 -1013853.55,-627633.94 -1019861.03,-631160.05 -1019861.03))"
586951,Brzkov,Jihlava,Jihlava,Kraj Vysočina,"POLYGON((-658978.62 -1119103.73,-658978.62 -1114865.19,-654882.05 -1114865.19,-654882.05 -1119103.73,-658978.62 -1119103.73))"
560308,Bublava,Kraslice,Sokolov,Karlovarský kraj,"POLYGON((-874683.38 -993234.29,-874683.38 -988656.01,-871917.85 -988656.01,-871917.85 -993234.29,-874683.38 -993234.29))"
531103,Bubovice,Beroun,Beroun,Středočeský kraj,"POLYGON((-765391.81 -1054551.31,-765391.81 -1052337.39,-761159.52 -1052337.39,-761159.52 -1054551.31,-765391.81 -1054551.31))"
592102,Buchlovice,Uherské Hradiště,Uherské Hradiště,Zlínský kraj,"POLYGON((-552561.61 -1180737.69,-552561.61 -1173330.76,-544533.23 -1173330.76,-544533.23 -1180737.69,-552561.61 -1180737.69))"
558699,Bučí,Nýřany,Plzeň-sever,Plzeňský kraj,"POLYGON((-826754.63 -1054916.16,-826754.63 -1053009,-824386.55 -1053009,-824386.55 -1054916.16,-826754.63 -1054916.16))"
579963,Bučina,Vysoké Mýto,Ústí nad Orlicí,Pardubický kraj,"POLYGON((-620860.45 -1081614.96,-620860.45 -1078982.3,-618288.21 -1078982.3,-618288.21 -1081614.96,-620860.45 -1081614.96))"
592943,Bučovice,Bučovice,Vyškov,Jihomoravský kraj,"POLYGON((-573766.43 -1174773.04,-573766.43 -1165008.01,-567031.36 -1165008.01,-567031.36 -1174773.04,-573766.43 -1174773.04))"
548952,Budčeves,Jičín,Jičín,Královéhradecký kraj,"POLYGON((-682585.65 -1028755.98,-682585.65 -1025087.44,-679229.56 -1025087.44,-679229.56 -1028755.98,-682585.65 -1028755.98))"
546020,Budeč,Dačice,Jindřichův Hradec,Jihočeský kraj,"POLYGON((-674655.61 -1165869.38,-674655.61 -1161967,-672278.71 -1161967,-672278.71 -1165869.38,-674655.61 -1165869.38))"
595390,Budeč,Žďár nad Sázavou,Žďár nad Sázavou,Kraj Vysočina,"POLYGON((-645357.51 -1118609,-645357.51 -1115664.3,-642463.69 -1115664.3,-642463.69 -1118609,-645357.51 -1118609))"
555894,Budětice,Sušice,Klatovy,Plzeňský kraj,"POLYGON((-819004.05 -1124170.25,-819004.05 -1119899.39,-812642.55 -1119899.39,-812642.55 -1124170.25,-819004.05 -1124170.25))"
589349,Budětsko,Konice,Prostějov,Olomoucký kraj,"POLYGON((-572008 -1121663.17,-572008 -1118855.59,-568116.58 -1118855.59,-568116.58 -1121663.17,-572008 -1121663.17))"
547638,Budíkov,Humpolec,Pelhřimov,Kraj Vysočina,"POLYGON((-684594.03 -1108877.08,-684594.03 -1105494.32,-681056.93 -1105494.32,-681056.93 -1108877.08,-684594.03 -1108877.08))"
537055,Budiměřice,Nymburk,Nymburk,Středočeský kraj,"POLYGON((-695139.61 -1038457.98,-695139.61 -1035470.62,-690214.24 -1035470.62,-690214.24 -1038457.98,-695139.61 -1038457.98))"
546038,Budíškovice,Dačice,Jindřichův Hradec,Jihočeský kraj,"POLYGON((-681976.73 -1171440.41,-681976.73 -1162194.26,-674368.43 -1162194.26,-674368.43 -1171440.41,-681976.73 -1171440.41))"
577910,Budislav,Litomyšl,Svitavy,Pardubický kraj,"POLYGON((-624522 -1093435.5,-624522 -1089024.14,-620924.6 -1089024.14,-620924.6 -1093435.5,-624522 -1093435.5))"
552143,Budislav,Soběslav,Tábor,Jihočeský kraj,"POLYGON((-725857.27 -1137662.99,-725857.27 -1132646.49,-722412.73 -1132646.49,-722412.73 -1137662.99,-725857.27 -1137662.99))"
590401,Budišov,Třebíč,Třebíč,Kraj Vysočina,"POLYGON((-642956.22 -1150028.2,-642956.22 -1145387.55,-637717.93 -1145387.55,-637717.93 -1150028.2,-642956.22 -1150028.2))"
568261,Budišovice,Opava,Opava,Moravskoslezský kraj,"POLYGON((-489679.1 -1098731.53,-489679.1 -1094610.11,-486806.82 -1094610.11,-486806.82 -1098731.53,-489679.1 -1098731.53))"
506460,Budišov nad Budišovkou,Vítkov,Opava,Moravskoslezský kraj,"POLYGON((-525821.77 -1109316.6,-525821.77 -1094143.11,-513668.01 -1094143.11,-513668.01 -1109316.6,-525821.77 -1109316.6))"
590410,Budkov,Moravské Budějovice,Třebíč,Kraj Vysočina,"POLYGON((-672706.84 -1171334.67,-672706.84 -1166436.8,-664709.25 -1166436.8,-664709.25 -1171334.67,-672706.84 -1171334.67))"
561576,Budkov,Prachatice,Prachatice,Jihočeský kraj,"POLYGON((-789593.09 -1152010.07,-789593.09 -1149375.37,-786316.1 -1149375.37,-786316.1 -1152010.07,-789593.09 -1152010.07))"
560171,Budyně,Vodňany,Strakonice,Jihočeský kraj,"POLYGON((-784212 -1144500.85,-784212 -1142060.07,-781548.64 -1142060.07,-781548.64 -1144500.85,-784212 -1144500.85))"
564656,Budyně nad Ohří,Roudnice nad Labem,Litoměřice,Ústecký kraj,"POLYGON((-764694.11 -1007756.05,-764694.11 -1001375.94,-753817.93 -1001375.94,-753817.93 -1007756.05,-764694.11 -1007756.05))"
545449,Bujanov,Kaplice,Český Krumlov,Jihočeský kraj,"POLYGON((-764170.81 -1199680.48,-764170.81 -1193290.42,-757920.74 -1193290.42,-757920.74 -1199680.48,-764170.81 -1199680.48))"
559741,Bujesily,Rokycany,Rokycany,Plzeňský kraj,"POLYGON((-806930.45 -1055222.04,-806930.45 -1051641.04,-803712.81 -1051641.04,-803712.81 -1055222.04,-806930.45 -1055222.04))"
512826,Buk,Přerov,Přerov,Olomoucký kraj,"POLYGON((-533591.97 -1134221.51,-533591.97 -1130958.78,-531446.84 -1130958.78,-531446.84 -1134221.51,-533591.97 -1134221.51))"
537519,Buk,Vimperk,Prachatice,Jihočeský kraj,"POLYGON((-804179.38 -1158742.39,-804179.38 -1150401.5,-797144.71 -1150401.5,-797144.71 -1158742.39,-804179.38 -1158742.39))"
595403,Bukov,Bystřice nad Pernštejnem,Žďár nad Sázavou,Kraj Vysočina,"POLYGON((-624118.87 -1130864.46,-624118.87 -1127020.45,-620992.68 -1127020.45,-620992.68 -1130864.46,-624118.87 -1130864.46))"
546372,Buková,Přeštice,Plzeň-jih,Plzeňský kraj,"POLYGON((-843441.72 -1091973.88,-843441.72 -1089256.47,-839366.93 -1089256.47,-839366.93 -1091973.88,-843441.72 -1091973.88))"
589357,Buková,Prostějov,Prostějov,Olomoucký kraj,"POLYGON((-581847.09 -1129385.35,-581847.09 -1125118.55,-575142.2 -1125118.55,-575142.2 -1129385.35,-581847.09 -1129385.35))"
532924,Bukovany,Benešov,Benešov,Středočeský kraj,"POLYGON((-734400.77 -1075262.11,-734400.77 -1072431.28,-730308.22 -1072431.28,-730308.22 -1075262.11,-734400.77 -1075262.11))"
586072,Bukovany,Kyjov,Hodonín,Jihomoravský kraj,"POLYGON((-565127.71 -1183363.74,-565127.71 -1180419.95,-563406.24 -1180419.95,-563406.24 -1183363.74,-565127.71 -1183363.74))"
552402,Bukovany,Olomouc,Olomouc,Olomoucký kraj,"POLYGON((-541420.99 -1121929.62,-541420.99 -1120024.01,-539130.33 -1120024.01,-539130.33 -1121929.62,-541420.99 -1121929.62))"
564664,Bukovany,Příbram,Příbram,Středočeský kraj,"POLYGON((-774624.31 -1097595.21,-774624.31 -1095223.54,-772333.29 -1095223.54,-772333.29 -1097595.21,-774624.31 -1097595.21))"
560316,Bukovany,Sokolov,Sokolov,Karlovarský kraj,"POLYGON((-873047.36 -1016654.8,-873047.36 -1014401.05,-870244.99 -1014401.05,-870244.99 -1016654.8,-873047.36 -1016654.8))"
540021,Buková u Příbramě,Příbram,Příbram,Středočeský kraj,"POLYGON((-773673.68 -1077497.65,-773673.68 -1071951.94,-770861.31 -1071951.94,-770861.31 -1077497.65,-773673.68 -1077497.65))"
511935,Bukovec,Jablunkov,Frýdek-Místek,Moravskoslezský kraj,"POLYGON((-437488.67 -1140837.32,-437488.67 -1132600.46,-431724.3 -1132600.46,-431724.3 -1140837.32,-437488.67 -1140837.32))"
553506,Bukovec,Stod,Domažlice,Plzeňský kraj,"POLYGON((-854622.46 -1084500.81,-854622.46 -1081513.3,-850677.05 -1081513.3,-850677.05 -1084500.81,-854622.46 -1084500.81))"
547751,Bukovice,Náchod,Náchod,Královéhradecký kraj,"POLYGON((-609571.12 -1008660.49,-609571.12 -1006307.15,-607570.43 -1006307.15,-607570.43 -1008660.49,-609571.12 -1008660.49))"
581437,Bukovice,Tišnov,Brno-venkov,Jihomoravský kraj,"POLYGON((-605986.13 -1137513.79,-605986.13 -1135245.7,-603117.57 -1135245.7,-603117.57 -1137513.79,-605986.13 -1137513.79))"
581445,Bukovina,Blansko,Blansko,Jihomoravský kraj,"POLYGON((-585940.66 -1151719.36,-585940.66 -1149433.83,-583507.53 -1149433.83,-583507.53 -1151719.36,-585940.66 -1151719.36))"
574813,Bukovina nad Labem,Pardubice,Pardubice,Pardubický kraj,"POLYGON((-644311.44 -1052948.55,-644311.44 -1050364.46,-641197.29 -1050364.46,-641197.29 -1052948.55,-644311.44 -1052948.55))"
577031,Bukovina u Čisté,Jilemnice,Semily,Liberecký kraj,"POLYGON((-655493.2 -1004261.06,-655493.2 -1001952.9,-653173.9 -1001952.9,-653173.9 -1004261.06,-655493.2 -1004261.06))"
574821,Bukovina u Přelouče,Přelouč,Pardubice,Pardubický kraj,"POLYGON((-664548.41 -1069720.09,-664548.41 -1068207.54,-662414.75 -1068207.54,-662414.75 -1069720.09,-664548.41 -1069720.09))"
581453,Bukovinka,Blansko,Blansko,Jihomoravský kraj,"POLYGON((-584992.68 -1152551.95,-584992.68 -1148971.01,-579818.72 -1148971.01,-579818.72 -1152551.95,-584992.68 -1152551.95))"
574830,Bukovka,Pardubice,Pardubice,Pardubický kraj,"POLYGON((-658680.04 -1054837.33,-658680.04 -1050609.39,-655685.13 -1050609.39,-655685.13 -1054837.33,-658680.04 -1054837.33))"
530085,Bukovník,Sušice,Klatovy,Plzeňský kraj,"POLYGON((-811782.76 -1132080.64,-811782.76 -1129153.96,-809654.91 -1129153.96,-809654.91 -1132080.64,-811782.76 -1132080.64))"
535605,Bukovno,Mladá Boleslav,Mladá Boleslav,Středočeský kraj,"POLYGON((-710863.66 -1010541.35,-710863.66 -1005033.18,-705468.57 -1005033.18,-705468.57 -1010541.35,-710863.66 -1010541.35))"
573353,Bukvice,Jičín,Jičín,Královéhradecký kraj,"POLYGON((-678001.33 -1016967.87,-678001.33 -1013315.97,-675322.62 -1013315.97,-675322.62 -1016967.87,-678001.33 -1016967.87))"
584380,Bulhary,Břeclav,Břeclav,Jihomoravský kraj,"POLYGON((-595405.07 -1205712.8,-595405.07 -1200133.4,-590446.42 -1200133.4,-590446.42 -1205712.8,-595405.07 -1205712.8))"
563935,Bulovka,Frýdlant,Liberec,Liberecký kraj,"POLYGON((-684864.19 -954842.63,-684864.19 -947154.96,-676380.39 -947154.96,-676380.39 -954842.63,-684864.19 -954842.63))"
561312,Buřenice,Pacov,Pelhřimov,Kraj Vysočina,"POLYGON((-706754.21 -1112530.79,-706754.21 -1106396.09,-702279.49 -1106396.09,-702279.49 -1112530.79,-706754.21 -1112530.79))"
540048,Buš,Černošice,Praha-západ,Středočeský kraj,"POLYGON((-751487.04 -1076179.27,-751487.04 -1072619.19,-747903.38 -1072619.19,-747903.38 -1076179.27,-751487.04 -1076179.27))"
550159,Bušanovice,Prachatice,Prachatice,Jihočeský kraj,"POLYGON((-794678 -1148322.44,-794678 -1144276.86,-790549.14 -1144276.86,-790549.14 -1148322.44,-794678 -1148322.44))"
532894,Bušín,Šumperk,Šumperk,Olomoucký kraj,"POLYGON((-575182.38 -1077389.21,-575182.38 -1072514.19,-570761.35 -1072514.19,-570761.35 -1077389.21,-575182.38 -1077389.21))"
559750,Bušovice,Rokycany,Rokycany,Plzeňský kraj,"POLYGON((-811910.43 -1068523.78,-811910.43 -1063859.62,-807477.94 -1063859.62,-807477.94 -1068523.78,-811910.43 -1068523.78))"
532169,Buštěhrad,Kladno,Kladno,Středočeský kraj,"POLYGON((-760987.94 -1034408.15,-760987.94 -1031802.3,-756393.91 -1031802.3,-756393.91 -1034408.15,-760987.94 -1034408.15))"
549282,Butoves,Jičín,Jičín,Královéhradecký kraj,"POLYGON((-668211.46 -1020270.4,-668211.46 -1018824.66,-666015.08 -1018824.66,-666015.08 -1020270.4,-668211.46 -1020270.4))"
529966,Buzice,Blatná,Strakonice,Jihočeský kraj,"POLYGON((-789758.23 -1112554.93,-789758.23 -1109525.03,-784985.38 -1109525.03,-784985.38 -1112554.93,-789758.23 -1112554.93))"
533238,Býchory,Kolín,Kolín,Středočeský kraj,"POLYGON((-684359.53 -1054441.66,-684359.53 -1051637.79,-679967.11 -1051637.79,-679967.11 -1054441.66,-684359.53 -1054441.66))"
546780,Býčkovice,Litoměřice,Litoměřice,Ústecký kraj,"POLYGON((-751707.7 -991335.47,-751707.7 -986638.5,-749024.28 -986638.5,-749024.28 -991335.47,-751707.7 -991335.47))"
534714,Býkev,Mělník,Mělník,Středočeský kraj,"POLYGON((-741570.8 -1015342.64,-741570.8 -1012316.8,-737856.29 -1012316.8,-737856.29 -1015342.64,-741570.8 -1015342.64))"
534145,Bykoš,Beroun,Beroun,Středočeský kraj,"POLYGON((-772448.25 -1063243.8,-772448.25 -1060660.65,-769972.53 -1060660.65,-769972.53 -1063243.8,-772448.25 -1063243.8))"
581461,Býkovice,Blansko,Blansko,Jihomoravský kraj,"POLYGON((-601748.98 -1135966.03,-601748.98 -1133274.52,-598572.13 -1133274.52,-598572.13 -1135966.03,-601748.98 -1135966.03))"
569607,Býkov-Láryšov,Krnov,Bruntál,Moravskoslezský kraj,"POLYGON((-513122.85 -1076530.56,-513122.85 -1072450.4,-510170.38 -1072450.4,-510170.38 -1076530.56,-513122.85 -1076530.56))"
571245,Bylany,Chrudim,Chrudim,Pardubický kraj,"POLYGON((-653684.85 -1070485.95,-653684.85 -1068089.26,-649871.28 -1068089.26,-649871.28 -1070485.95,-653684.85 -1070485.95))"
544647,Bynovec,Děčín,Děčín,Ústecký kraj,"POLYGON((-743769.71 -962075.56,-743769.71 -959592.99,-739615.1 -959592.99,-739615.1 -962075.56,-743769.71 -962075.56))"
534722,Byšice,Mělník,Mělník,Středočeský kraj,"POLYGON((-727036.61 -1021644.09,-727036.61 -1016961.07,-722607.39 -1016961.07,-722607.39 -1021644.09,-727036.61 -1021644.09))"
512877,Býškovice,Hranice,Přerov,Olomoucký kraj,"POLYGON((-516773.99 -1140249.78,-516773.99 -1136889.2,-512974.64 -1136889.2,-512974.64 -1140249.78,-516773.99 -1140249.78))"
595420,Býšovec,Bystřice nad Pernštejnem,Žďár nad Sázavou,Kraj Vysočina,"POLYGON((-618701.81 -1130076.46,-618701.81 -1126277.41,-616057.1 -1126277.41,-616057.1 -1130076.46,-618701.81 -1130076.46))"
574848,Býšť,Holice,Pardubice,Pardubický kraj,"POLYGON((-639589.46 -1053675.14,-639589.46 -1047352.68,-630389.03 -1047352.68,-630389.03 -1053675.14,-639589.46 -1053675.14))"
561801,Bystrá,Humpolec,Pelhřimov,Kraj Vysočina,"POLYGON((-684866.84 -1117432.77,-684866.84 -1114694.87,-681983.45 -1114694.87,-681983.45 -1117432.77,-684866.84 -1117432.77))"
577049,Bystrá nad Jizerou,Semily,Semily,Liberecký kraj,"POLYGON((-667652.84 -996930.29,-667652.84 -993761.66,-664340.97 -993761.66,-664340.97 -996930.29,-667652.84 -996930.29))"
567477,Bystřany,Teplice,Teplice,Ústecký kraj,"POLYGON((-775476.6 -980467.41,-775476.6 -976750.88,-770704.96 -976750.88,-770704.96 -980467.41,-775476.6 -980467.41))"
576166,Bystré,Dobruška,Rychnov nad Kněžnou,Královéhradecký kraj,"POLYGON((-610247.71 -1035361.75,-610247.71 -1032343.53,-607996.84 -1032343.53,-607996.84 -1035361.75,-610247.71 -1035361.75))"
577928,Bystré,Polička,Svitavy,Pardubický kraj,"POLYGON((-614178.05 -1113899.02,-614178.05 -1107921.75,-608236.67 -1107921.75,-608236.67 -1113899.02,-614178.05 -1113899.02))"
579971,Bystřec,Žamberk,Ústí nad Orlicí,Pardubický kraj,"POLYGON((-590470.76 -1073644.61,-590470.76 -1068818.77,-583618.18 -1068818.77,-583618.18 -1073644.61,-590470.76 -1073644.61))"
529451,Bystřice,Benešov,Benešov,Středočeský kraj,"POLYGON((-735932.13 -1092179.97,-735932.13 -1080241.18,-726506.98 -1080241.18,-726506.98 -1092179.97,-735932.13 -1092179.97))"
572772,Bystřice,Jičín,Jičín,Královéhradecký kraj,"POLYGON((-681557.94 -1018206.72,-681557.94 -1014446.09,-678457.03 -1014446.09,-678457.03 -1018206.72,-681557.94 -1018206.72))"
598062,Bystřice,Třinec,Frýdek-Místek,Moravskoslezský kraj,"POLYGON((-442363.51 -1128804.23,-442363.51 -1124188.42,-436630.39 -1124188.42,-436630.39 -1128804.23,-442363.51 -1128804.23))"
595411,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,Žďár nad Sázavou,Kraj Vysočina,"POLYGON((-627380.9 -1124754.2,-627380.9 -1115355.37,-613674.61 -1115355.37,-613674.61 -1124754.2,-627380.9 -1124754.2))"
588393,Bystřice pod Hostýnem,Bystřice pod Hostýnem,Kroměříž,Zlínský kraj,"POLYGON((-524252.36 -1149374.86,-524252.36 -1141597.7,-517040.82 -1141597.7,-517040.82 -1149374.86,-524252.36 -1149374.86))"
592111,Bystřice pod Lopeníkem,Uherský Brod,Uherské Hradiště,Zlínský kraj,"POLYGON((-518226.78 -1196657.25,-518226.78 -1191887.47,-513893.54 -1191887.47,-513893.54 -1196657.25,-518226.78 -1196657.25))"
541711,Bystřička,Vsetín,Vsetín,Zlínský kraj,"POLYGON((-498792.77 -1147425.09,-498792.77 -1144732.64,-492155.11 -1144732.64,-492155.11 -1147425.09,-498792.77 -1147425.09))"
500879,Bystročice,Olomouc,Olomouc,Olomoucký kraj,"POLYGON((-553889.21 -1128947.96,-553889.21 -1124842.26,-550000.34 -1124842.26,-550000.34 -1128947.96,-553889.21 -1128947.96))"
547026,Bystrovany,Olomouc,Olomouc,Olomoucký kraj,"POLYGON((-543859.14 -1122629.14,-543859.14 -1120842.06,-540954.08 -1120842.06,-540954.08 -1122629.14,-543859.14 -1122629.14))"
576174,Byzhradec,Rychnov nad Kněžnou,Rychnov nad Kněžnou,Královéhradecký kraj,"POLYGON((-617705.64 -1045957.39,-617705.64 -1043057.26,-613832.85 -1043057.26,-613832.85 -1045957.39,-617705.64 -1045957.39))"
567485,Bžany,Teplice,Teplice,Ústecký kraj,"POLYGON((-775353.53 -984742.7,-775353.53 -979321.2,-772019.05 -979321.2,-772019.05 -984742.7,-775353.53 -984742.7))"
